木乃伊僵尸	2	10	270	32	0
路障木乃伊僵尸	4	30	640	32	1
铁桶木乃伊僵尸	8	40	1370	32	1
太阳神僵尸	2	7	270	32	1
骆驼僵尸	6	30	720	37*3	1
探险家僵尸	5	30	350	32	1
死神僵尸	7	20	540	32	1
法老僵尸	9	30	1605	32	1
埃及巨人僵尸	30	30	3600	42	2
/
普通失落僵尸	2	10	270	32	0
路障失落僵尸	4	30	640	32	1
铁桶失落僵尸	8	40	1370	32	1
失落小鬼僵尸	2	10	0	42	1
失落发掘者僵尸	6	30	491	42	1
失落阳伞僵尸	6	30	490	32	1
失落昆虫僵尸(普通)	8	20	350	42	1
失落昆虫僵尸(路障)	10	30	350	32	1
失落昆虫僵尸(铁桶)	14	40	350	32	1
失落小鬼搬运工僵尸	8	30	490	32	1
遗迹猎人僵尸	16	30	1080	32	1
失落考古学家	12	30	350	32	1
失落巨人僵尸	40	30	3600	62	2
/
牛仔僵尸	2	10	310	32	0
路障牛仔僵尸	4	30	640	32	1
铁桶牛仔僵尸	8	40	1370	32	1
淘金僵尸	5	30	270	32	1
钢琴僵尸	10	20	1200	75	1
斗篷僵尸	6	40	330	32	1
鸡贼僵尸	6	30	270	32	1
机器牛	12	10	1300	126	1
西部巨人僵尸	30	30	3600	42	2
/
功夫普通僵尸	2	10	270	32	0
路障功夫僵尸	4	30	640	32	1
铁茶壶功夫僵尸	8	40	1370	32	1
元帅僵尸	8	40	1370	32	1
武僧普通僵尸	2	10	270	32	1
武僧路障僵尸	4	30	640	32	1
武僧铁茶壶僵尸	8	40	1370	32	1
功夫火把僵尸	5	30	350	32	1
锤子僵尸	5	30	600	32	1
喝酒僵尸	2	7	600	32	1
功夫气功僵尸	5	30	600	32	1
武僧小鬼僵尸	2	7	600	32	1
火把武僧僵尸	5	30	350	32	1
大刀武僧僵尸	4	30	470	32	1
双截棍武僧僵尸	5	30	600	32	1
喝酒武僧僵尸	2	7	600	32	1
大汉铜人僵尸	56	7	7000	42	2
